Year,Quarter,CPI-AllUrbanConsumers,UnemploymentRate,Inflation,Federal Funds Effective Rate,Federal Minimum Wage Rates,Poverty Rates,Gross Domestic Product,Gross Domestic Income,Government Expenditures,Disposable Personal Income,Housing Price Index (All-Transactions Indexes),Palma Ratio calculated from WID,Gini Index (FRED),Short Term Interest Rates,Long Term Interest Rate,Employment Cost Index,National Debt,Share Prices,Federal Government Current Tax Receipts,Household and Nonprofit Incom Tax,Hours Worked
1960,1,29.4,5.97,0,3.93,1,22.2,542.648,542.123,99.951,2270,59.79,0.43739212,34.6,0.983315,4.486667,87.6,320999,3.293215,77.184,45292,110.928
1960,2,29.57,5.27,0.68,3.7,1,22.2,541.08,543.395,102.035,2284.6,59.79,0.43739212,34.6,1.143316,4.26,87.6,320999,3.265243,75.816,46028,110.928
1960,3,29.59,5.13,0,2.94,1,22.2,545.604,545.289,104.217,2289,59.79,0.43739212,34.6,1.303317,3.833333,87.6,320999,3.211164,75.24,46528,110.928
1960,4,29.78,5.67,0.68,2.3,1,22.2,540.197,543.937,106.577,2288,59.79,0.449680302,34.6,1.463318,3.886667,87.6,320999,3.11606,73.98,46424,110.928
1961,1,29.84,7.83,0,2,1,21.9,545.018,546.221,108.531,2309.7,59.79,0.449680302,34.6,1.623319,3.786667,87.6,320999,3.393914,73.82,46511,110.928
1961,2,29.83,6.97,0,1.73,1,21.9,555.545,556.72,111.561,2344.7,59.79,0.449680302,34.6,1.78332,3.79,87.6,320999,3.595311,75.66,46944,110.928
1961,3,29.95,6.3,0.67,1.68,1.05,21.9,567.664,567.148,112.58,2375.9,59.79,0.449680302,34.6,1.943321,3.98,87.6,320999,3.681091,77.316,47402,110.928
1961,4,29.99,5.63,0,2.4,1.15,21.9,580.612,582.407,114.408,2422.3,59.79,0.449680302,34.6,2.103322,3.973333,87.6,320999,3.746359,80.288,48143,110.928
1962,1,30.11,6.47,0.33,2.46,1.15,21,594.013,592.505,118.949,2446.1,59.79,0.425000006,34.6,2.263323,4.016667,87.6,320999,3.701604,80.136,49402,110.928
1962,2,30.22,5.5,0.33,2.61,1.15,21,600.366,600.073,120.737,2472.5,59.79,0.425000006,34.6,2.423324,3.873333,87.6,320999,3.311863,81.324,50924,110.928
1962,3,30.31,5.17,0.66,2.85,1.15,21,609.027,607.426,122.299,2485.8,59.79,0.425000006,34.6,2.583325,3.99,87.6,320999,3.093683,83.648,52319,110.928
1962,4,30.38,5.03,0,2.92,1.15,21,612.28,615.801,124.211,2507.9,59.79,0.425000006,34.6,2.743326,3.903333,87.6,320999,3.227947,84.796,53575,110.928
1963,1,30.48,6.6,0.33,2.97,1.15,19.5,621.672,623.852,123.892,2529.7,59.79,0.43739212,34.6,2.903327,3.893333,87.6,320999,3.518854,85.448,54101,110.928
1963,2,30.53,5.77,0.33,2.96,1.15,19.5,629.752,634.045,124.193,2553,59.79,0.43739212,34.6,3.063328,3.963333,87.6,320999,3.729575,87.496,54311,110.928
1963,3,30.72,5.2,0.33,3.33,1.18,19.5,644.444,643.452,127.358,2580.9,59.79,0.43739212,34.6,3.223329,4.033333,87.6,320999,3.740764,88.356,54593,110.928
1963,4,30.8,5.1,0.65,3.45,1.25,19.5,653.938,654.311,128.255,2622.9,59.79,0.43739212,34.6,3.38333,4.12,87.6,320999,3.908595,89.54,55203,110.928
1964,1,30.93,6.17,0,3.46,1.25,19,669.822,667.298,130.485,2674.3,59.79,0.449680302,34.6,3.543331,4.18,87.6,320999,4.139829,87.56,53755,110.928
1964,2,30.98,5.33,0.32,3.49,1.25,19,678.674,678.727,131.683,2746.4,59.79,0.449680302,34.6,3.703332,4.2,87.6,320999,4.277823,83.648,49723,112.181
1964,3,31.05,4.73,0.32,3.46,1.25,19,692.031,691.099,131.223,2782.2,59.79,0.449680302,34.6,3.863333,4.193333,87.6,320999,4.410482,85.964,51575,113.031
1964,4,31.19,4.53,0.32,3.58,1.25,19,697.319,700.907,129.868,2813.8,59.79,0.449680302,34.6,4.023334,4.173333,87.6,320999,4.526365,87.432,53223,114.241
