Year,Quarter,CPI-AllUrbanConsumers,National_Debt,Federal Minimum Wage Rates,GDP,Long Term Interest Rate,Government Expenditures,Gini Index (FRED)
1960,1,29.39666667,320900,1,542.648,4.556667,99.951,0.34
1960,2,29.57333333,320900,1,541.08,4.513333,102.035,0.34
1960,3,29.59,320900,1,545.604,4.4,104.217,0.34
1960,4,29.78,320900,1,540.197,4.35,106.577,0.34
1961,1,29.84,320901,1,545.018,4.3,108.531,0.34
1961,2,29.83,320901,1,555.545,4.086667,111.561,0.34
1961,3,29.94666667,320901,1.05,567.664,4.173333,112.58,0.34
1961,4,29.99,320901,1.15,580.612,4.156667,114.408,0.34
1962,1,30.10666667,320902,1.15,594.013,4.083333,118.949,0.34
1962,2,30.22,320902,1.15,600.366,4.32,120.737,0.34
1962,3,30.30666667,320902,1.15,609.027,4.3,122.299,0.34
1962,4,30.38,320902,1.15,612.28,4.24,124.211,0.34
1963,1,30.47666667,320903,1.15,621.672,4.223333,123.892,0.34
1963,2,30.53333333,320903,1.15,629.752,4.203333,124.193,0.34
1963,3,30.72,320903,1.18,644.444,4.243333,127.358,0.34
1963,4,30.80333333,320903,1.25,653.938,4.566667,128.255,0.34
1964,1,30.93,320905,1.25,669.822,4.843333,130.485,0.34
1964,2,30.98,320905,1.25,678.674,4.946667,131.683,0.34
1964,3,31.05,320905,1.25,692.031,5.276667,131.223,0.34
1964,4,31.19333333,320905,1.25,697.319,5.29,129.868,0.34
1965,1,31.29,320906,1.25,717.79,5.116667,131.44,0.35
1965,2,31.49,320906,1.25,730.191,5.36,133.424,0.35
1965,3,31.58333333,320906,1.25,749.323,5.58,139.931,0.35
1965,4,31.75,320906,1.25,771.857,5.946667,143.739,0.35
1966,1,32.04666667,320999,1.25,795.734,4.77,150.057,0.35
1966,2,32.33666667,316097,1.25,804.981,4.78,155.305,0.35
1966,3,32.61666667,324748,1.25,819.638,5.14,161.733,0.35
1966,4,32.88333333,329319,1.25,833.302,5.003334,166.68,0.35
1967,1,32.96666667,330947,1.35,844.17,4.583333,176.472,0.35
1967,2,33.16666667,322893,1.4,848.983,4.82,175.689,0.35
1967,3,33.5,335896,1.4,865.233,5.246666,181.526,0.35
1967,4,33.86666667,344663,1.4,881.439,5.643333,183.494,0.35
1968,1,34.2,349473,1.53,909.387,5.61,188.848,0.35
1968,2,34.53333333,345369,1.6,934.344,5.743333,195.598,0.35
1968,3,35,354743,1.6,950.825,5.46,198.456,0.35
1968,4,35.43333333,358029,1.6,968.03,5.77,202.643,0.35
